StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,12:38.7,0.3535,0.9106,-0.1787,0.9766,5.5542,-1.3428,101.4313,-21.0114,99.7174,0
0x50,12:38.7,0.3584,0.9087,-0.1597,1.0986,5.9814,-1.0376,101.3983,-21.0114,99.7778,0
0x50,12:38.8,0.3467,0.9165,-0.1563,0.7935,4.0894,-0.4272,101.3599,-21.0168,99.8438,0
0x50,12:38.8,0.3394,0.9277,-0.1738,-0.3052,-1.1597,0.4883,101.3324,-21.0114,99.8492,0
0x50,12:38.8,0.3242,0.9292,-0.1895,-0.7935,-4.8828,1.0986,101.3324,-21.0004,99.7394,0
0x50,12:38.8,0.3535,0.9272,-0.1792,-1.0986,-5.4932,1.3428,101.3599,-20.9784,99.5636,0
0x50,12:38.8,0.3726,0.9194,-0.1792,-0.1831,-2.0752,0.6714,101.3708,-20.9839,99.4043,0
0x50,12:38.9,0.3755,0.9155,-0.1675,0.5493,0.8545,-0.1221,101.3763,-20.9949,99.3164,0
0x50,12:38.9,0.3696,0.9067,-0.1885,0.5493,1.5869,-0.4272,101.3708,-21.0059,99.2889,0
0x50,12:38.9,0.3584,0.9014,-0.1924,0,-1.0376,-0.061,101.3763,-21.0114,99.245,0
0x50,12:38.9,0.3564,0.9019,-0.1934,-0.4272,-1.6479,0.061,101.3928,-21.0114,99.1571,0
0x50,12:38.9,0.3755,0.9092,-0.1797,0,0.6714,-0.3662,101.3983,-21.0114,99.0747,0
0x50,12:39.0,0.3677,0.918,-0.1724,0.4883,2.8076,-0.7935,101.3873,-21.0168,99.0472,0
0x50,12:39.0,0.3579,0.9229,-0.1772,0.4883,2.4414,-0.7935,101.3654,-21.0114,99.0582,0
0x50,12:39.0,0.3408,0.9307,-0.1782,0.3052,1.6479,-0.8545,101.3544,-21.0004,99.0527,0
0x50,12:39.0,0.3452,0.9287,-0.1836,0.3052,1.0986,-0.7324,101.3434,-20.9784,99.0363,0
0x50,12:39.0,0.3501,0.9155,-0.1875,0.2441,0.061,-0.4272,101.3379,-20.9564,99.0033,0
0x50,12:39.1,0.3555,0.9053,-0.1709,0.5493,-0.4272,0,101.3434,-20.9454,98.9484,0
0x50,12:39.1,0.3662,0.9038,-0.1519,1.1597,0.6104,0.5493,101.3489,-20.9509,98.8989,0
0x50,12:39.1,0.3408,0.9136,-0.1602,1.2207,0,0.9155,101.3489,-20.9729,98.866,0
0x50,12:39.1,0.3467,0.9141,-0.1724,0.2441,-3.6011,1.5259,101.3654,-20.9784,98.8,0
0x50,12:39.2,0.3584,0.916,-0.1807,-0.3662,-6.1035,1.8921,101.3928,-20.9894,98.6572,0
0x50,12:39.2,0.3838,0.9116,-0.1841,-0.1221,-4.7607,1.4038,101.4313,-21.0059,98.476,0
0x50,12:39.2,0.3677,0.9214,-0.2051,0.4272,-1.3428,0.4272,101.4642,-21.0278,98.3386,0
0x50,12:39.2,0.3418,0.9268,-0.207,0.2441,-2.0142,0.061,101.4972,-21.0278,98.2507,0
0x50,12:39.2,0.3584,0.9194,-0.1909,-0.061,-2.9297,0.061,101.5302,-21.0059,98.1519,0
0x50,12:39.2,0.3735,0.9082,-0.1748,0.4883,-0.061,-0.1831,101.5466,-21.0004,98.0585,0
0x50,12:39.3,0.3735,0.9082,-0.1748,0.4883,-0.061,-0.1831,101.5466,-21.0114,98.0145,0
0x50,12:39.3,0.3726,0.8989,-0.1675,1.1597,3.0518,-0.3662,101.5356,-21.0278,98.042,0
0x50,12:39.3,0.3574,0.9038,-0.1836,0.9766,3.7842,-0.4272,101.5247,-21.0333,98.0804,0
